Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease
Abdominal Pain,Sore Throat,Loss of Appetite,Headache,High Fever,Malaria
Skin Rash,Headache,Chills,Dizziness,Fever,COVID-19
Sneezing,Dizziness,Skin Rash,Headache,Sweating,Asthma
High Fever,Headache,Body Pain,Cough,Sweating,Bronchitis
Fatigue,Skin Rash,Sweating,Cough,Nausea,COVID-19
Loss of Appetite,Fever,Muscle Weakness,Runny Nose,Sore Throat,Tuberculosis
Sore Throat,Fatigue,Runny Nose,Loss of Appetite,Headache,Food Poisoning
Skin Rash,Fatigue,Muscle Weakness,Abdominal Pain,Dizziness,Pneumonia
Shortness of Breath,Loss of Appetite,Fever,Nausea,Cough,Chikungunya
Skin Rash,Sore Throat,Dizziness,Headache,Chills,Typhoid
Sweating,Vomiting,Chills,Nausea,Joint Pain,Typhoid
Body Pain,High Fever,Vomiting,Abdominal Pain,Dizziness,Flu
Swelling,Body Pain,Nausea,Vomiting,Sneezing,Chikungunya
Fever,Swelling,Diarrhea,Abdominal Pain,Sore Throat,Chikungunya
Sore Throat,Joint Pain,Skin Rash,Headache,Loss of Appetite,Pneumonia
Body Pain,Vomiting,Loss of Appetite,Skin Rash,Muscle Weakness,Dengue
Chills,Sweating,Loss of Appetite,Fever,Body Pain,Chikungunya
Diarrhea,Joint Pain,Sneezing,Headache,Muscle Weakness,Dengue
Body Pain,Headache,Loss of Appetite,Sneezing,Vomiting,Malaria
Chest Pain,Abdominal Pain,Sore Throat,High Fever,Fatigue,Bronchitis
Headache,Sneezing,Cough,Skin Rash,Shortness of Breath,Flu
Vomiting,Chills,Dizziness,Sweating,Fever,Tuberculosis
Headache,Sore Throat,Abdominal Pain,Chills,Diarrhea,Food Poisoning
Body Pain,Diarrhea,Shortness of Breath,Sneezing,Joint Pain,Allergy
Headache,High Fever,Fever,Fatigue,Sweating,Pneumonia
Sneezing,Nausea,Diarrhea,Runny Nose,Dizziness,Typhoid
Fatigue,Shortness of Breath,Joint Pain,Dizziness,Muscle Weakness,COVID-19
Abdominal Pain,Fatigue,Cough,Chest Pain,Diarrhea,Allergy
Sore Throat,Fever,Body Pain,Muscle Weakness,Dizziness,Malaria
Skin Rash,Vomiting,Runny Nose,Chest Pain,Chills,Bronchitis
Sneezing,High Fever,Cough,Chest Pain,Abdominal Pain,Tuberculosis
Swelling,Skin Rash,Sneezing,Joint Pain,Sore Throat,Dengue
Loss of Appetite,High Fever,Nausea,Chills,Dizziness,Pneumonia
High Fever,Chills,Sneezing,Abdominal Pain,Nausea,Allergy
Dizziness,Loss of Appetite,Abdominal Pain,Diarrhea,High Fever,Flu
Muscle Weakness,Abdominal Pain,Diarrhea,Swelling,Fatigue,Food Poisoning
Skin Rash,Fever,Diarrhea,Chills,Swelling,Typhoid
Fever,Chest Pain,Diarrhea,Loss of Appetite,Dizziness,Pneumonia
Dizziness,Fever,Body Pain,Muscle Weakness,Swelling,Allergy
Body Pain,Sneezing,Chills,Diarrhea,Nausea,Food Poisoning
Fatigue,Diarrhea,Swelling,Sneezing,Abdominal Pain,Chikungunya
Joint Pain,Loss of Appetite,Headache,Chills,Cough,Cold
Chest Pain,Fever,Sore Throat,Runny Nose,Abdominal Pain,Chikungunya
Joint Pain,Loss of Appetite,Skin Rash,Muscle Weakness,Vomiting,Pneumonia
Runny Nose,Skin Rash,Muscle Weakness,Fatigue,Chills,COVID-19
Swelling,Joint Pain,Headache,Vomiting,Chills,Bronchitis
Chills,Shortness of Breath,Abdominal Pain,Nausea,Fatigue,Chikungunya
High Fever,Fatigue,Chills,Swelling,Cough,Flu
Fever,Headache,Sneezing,Abdominal Pain,Sweating,Allergy
Dizziness,Muscle Weakness,Sore Throat,Chest Pain,Swelling,Chikungunya
Skin Rash,Headache,Nausea,Sore Throat,Joint Pain,Food Poisoning
Muscle Weakness,Dizziness,Fever,Sweating,Chest Pain,Asthma
Dizziness,Headache,Runny Nose,Sneezing,Loss of Appetite,COVID-19
Swelling,Skin Rash,Chest Pain,High Fever,Headache,Malaria
Joint Pain,Skin Rash,Chest Pain,Dizziness,Fatigue,Tuberculosis
Diarrhea,Sore Throat,Chest Pain,Sweating,Body Pain,COVID-19
Fatigue,Cough,Chest Pain,Abdominal Pain,Nausea,Asthma
Vomiting,Nausea,Diarrhea,Fatigue,Cough,Cold
Chest Pain,Loss of Appetite,Nausea,Sneezing,High Fever,Tuberculosis
Dizziness,Muscle Weakness,Cough,Sweating,Headache,Bronchitis
Dizziness,Runny Nose,Headache,Vomiting,Muscle Weakness,Asthma
Sore Throat,Vomiting,Shortness of Breath,Cough,Swelling,Chikungunya
Chills,Vomiting,Muscle Weakness,Runny Nose,High Fever,Chikungunya
Fever,Body Pain,Chest Pain,Abdominal Pain,Fatigue,Bronchitis
Chest Pain,Muscle Weakness,Skin Rash,Runny Nose,Loss of Appetite,Food Poisoning
Dizziness,Body Pain,Sweating,Fever,Runny Nose,Food Poisoning
Dizziness,Chills,Chest Pain,Vomiting,Joint Pain,Asthma
Sneezing,Fatigue,Sore Throat,Diarrhea,Shortness of Breath,Flu
Chest Pain,Skin Rash,Vomiting,Shortness of Breath,Diarrhea,Asthma
Fatigue,Body Pain,Swelling,Sore Throat,Abdominal Pain,Flu
Vomiting,Runny Nose,Shortness of Breath,Abdominal Pain,Muscle Weakness,Food Poisoning
Cough,Nausea,Sore Throat,Sweating,Runny Nose,Asthma
High Fever,Diarrhea,Nausea,Vomiting,Muscle Weakness,Food Poisoning
Muscle Weakness,Headache,Skin Rash,Body Pain,Fatigue,Allergy
Sneezing,Joint Pain,Nausea,Headache,Muscle Weakness,Flu
High Fever,Cough,Dizziness,Sneezing,Headache,Cold
Swelling,Joint Pain,Nausea,Diarrhea,Fatigue,COVID-19
Fever,Muscle Weakness,Chest Pain,Dizziness,Runny Nose,Bronchitis
Cough,Fever,Body Pain,Skin Rash,High Fever,Chikungunya
Chest Pain,Joint Pain,Swelling,High Fever,Abdominal Pain,COVID-19
Headache,Muscle Weakness,Cough,Sore Throat,Chills,Tuberculosis
Loss of Appetite,Fever,Runny Nose,Sneezing,Sore Throat,Pneumonia
Runny Nose,Dizziness,Headache,Skin Rash,Sneezing,Flu
Diarrhea,Joint Pain,High Fever,Abdominal Pain,Chills,Allergy
Sore Throat,Cough,Nausea,Body Pain,Sweating,Dengue
Diarrhea,Body Pain,Vomiting,Fever,Sneezing,COVID-19
Joint Pain,Dizziness,Loss of Appetite,Swelling,Sore Throat,Cold
Headache,Diarrhea,Sneezing,Cough,Fatigue,Bronchitis
Abdominal Pain,Chest Pain,Sweating,Nausea,Joint Pain,Asthma
Body Pain,Chills,Nausea,Runny Nose,Chest Pain,Malaria
Sore Throat,Vomiting,Shortness of Breath,Cough,Chest Pain,Bronchitis
Nausea,Sweating,Fatigue,Chest Pain,Runny Nose,Malaria
Muscle Weakness,Headache,Nausea,Runny Nose,Joint Pain,Bronchitis
High Fever,Abdominal Pain,Cough,Sweating,Diarrhea,Typhoid
Dizziness,High Fever,Joint Pain,Sweating,Sore Throat,Tuberculosis
Skin Rash,Fever,Chest Pain,Shortness of Breath,Joint Pain,Cold
High Fever,Chills,Sneezing,Nausea,Muscle Weakness,COVID-19
Chills,Sneezing,Shortness of Breath,Fatigue,Skin Rash,Malaria
Muscle Weakness,Diarrhea,Sweating,High Fever,Fever,Cold
Chest Pain,Muscle Weakness,Body Pain,Runny Nose,Abdominal Pain,Asthma
Shortness of Breath,Nausea,Headache,Fatigue,Sneezing,Flu
Fever,Sneezing,Muscle Weakness,Cough,Joint Pain,Pneumonia
Headache,Joint Pain,Skin Rash,Body Pain,Chills,Tuberculosis
Sore Throat,Fatigue,Vomiting,Headache,Diarrhea,COVID-19
Chills,Body Pain,Sneezing,Swelling,Fever,Asthma
Swelling,Muscle Weakness,Headache,Sore Throat,Fatigue,Tuberculosis
Diarrhea,Joint Pain,Chest Pain,Swelling,Runny Nose,Pneumonia
Nausea,Chills,Chest Pain,Muscle Weakness,Joint Pain,Food Poisoning
Body Pain,Shortness of Breath,Fatigue,Chest Pain,Abdominal Pain,Bronchitis
Swelling,Abdominal Pain,Loss of Appetite,Shortness of Breath,Joint Pain,Dengue
Fatigue,Muscle Weakness,Joint Pain,Body Pain,Sweating,Flu
Sore Throat,High Fever,Swelling,Fever,Runny Nose,Typhoid
Sweating,Fatigue,Swelling,High Fever,Joint Pain,Asthma
Loss of Appetite,Sneezing,Sore Throat,Swelling,Fever,Pneumonia
Cough,Fever,Body Pain,Skin Rash,Shortness of Breath,Tuberculosis
Chills,Sore Throat,High Fever,Skin Rash,Body Pain,COVID-19
Muscle Weakness,Nausea,Cough,High Fever,Shortness of Breath,Malaria
Chest Pain,Sneezing,Dizziness,Runny Nose,Cough,Pneumonia
Muscle Weakness,Nausea,Sneezing,Sore Throat,Headache,Flu
Fever,Cough,Runny Nose,Body Pain,Sneezing,Tuberculosis
Sneezing,Nausea,Sweating,Loss of Appetite,Sore Throat,Dengue
Swelling,Headache,Runny Nose,Chest Pain,Abdominal Pain,Pneumonia
Sore Throat,High Fever,Skin Rash,Vomiting,Dizziness,Chikungunya
High Fever,Joint Pain,Runny Nose,Body Pain,Fever,Pneumonia
Skin Rash,Nausea,Muscle Weakness,Chest Pain,Shortness of Breath,Pneumonia
High Fever,Dizziness,Sore Throat,Fever,Fatigue,Food Poisoning
High Fever,Sweating,Diarrhea,Headache,Abdominal Pain,Chikungunya
Fatigue,Abdominal Pain,Dizziness,Cough,Swelling,Cold
Abdominal Pain,High Fever,Joint Pain,Skin Rash,Loss of Appetite,Chikungunya
Cough,Swelling,Abdominal Pain,Sore Throat,Loss of Appetite,Allergy
Skin Rash,Body Pain,Shortness of Breath,Sweating,Chills,Malaria
Swelling,Fatigue,Loss of Appetite,Sneezing,Shortness of Breath,Flu
Dizziness,Diarrhea,Runny Nose,Abdominal Pain,Chills,Asthma
Diarrhea,Dizziness,Muscle Weakness,Abdominal Pain,Headache,Food Poisoning
Skin Rash,Chills,Diarrhea,Runny Nose,Dizziness,Flu
Joint Pain,Diarrhea,Chest Pain,Fever,Runny Nose,Allergy
Joint Pain,Fatigue,Skin Rash,Sneezing,High Fever,Allergy
Body Pain,Abdominal Pain,Chest Pain,Chills,Joint Pain,Typhoid
Shortness of Breath,Abdominal Pain,Chest Pain,Fever,Dizziness,Dengue
Chest Pain,Body Pain,High Fever,Diarrhea,Cough,Chikungunya
Fatigue,Abdominal Pain,Vomiting,Chills,Chest Pain,Chikungunya
Chest Pain,Loss of Appetite,Sweating,Headache,Vomiting,Pneumonia
Fatigue,Chills,Muscle Weakness,Headache,Swelling,Food Poisoning
High Fever,Fever,Joint Pain,Vomiting,Runny Nose,Pneumonia
Sneezing,Chills,Headache,Fatigue,Shortness of Breath,Cold
Fatigue,Skin Rash,Sore Throat,Body Pain,Abdominal Pain,Asthma
Body Pain,Skin Rash,Chest Pain,Loss of Appetite,Sweating,Flu
Abdominal Pain,Nausea,High Fever,Loss of Appetite,Headache,Typhoid
Swelling,Chills,Vomiting,Shortness of Breath,Runny Nose,Asthma
Skin Rash,Muscle Weakness,Swelling,Joint Pain,Dizziness,Dengue
Joint Pain,Sneezing,Fever,Abdominal Pain,Shortness of Breath,Dengue
Chills,Sneezing,Headache,Chest Pain,Sore Throat,Allergy
Runny Nose,Fever,Abdominal Pain,Shortness of Breath,Joint Pain,Malaria
High Fever,Body Pain,Chest Pain,Vomiting,Nausea,COVID-19
Chills,Swelling,Nausea,Sweating,Headache,Food Poisoning
Body Pain,Muscle Weakness,Headache,Loss of Appetite,Vomiting,Typhoid
Sweating,Diarrhea,Fever,Chills,Swelling,Malaria
Loss of Appetite,Sneezing,Nausea,Joint Pain,Sweating,Asthma
Joint Pain,Nausea,Dizziness,Runny Nose,Shortness of Breath,Dengue
Cough,Diarrhea,Swelling,Chills,Fatigue,Malaria
Joint Pain,Muscle Weakness,Vomiting,Cough,Swelling,Pneumonia
Joint Pain,Swelling,Fever,Headache,Skin Rash,Chikungunya
Nausea,Body Pain,Vomiting,Sneezing,Sweating,Dengue
Skin Rash,Joint Pain,Fatigue,Shortness of Breath,Muscle Weakness,Malaria
Skin Rash,Runny Nose,Sweating,Vomiting,Body Pain,Malaria
Sneezing,Chills,Fatigue,Runny Nose,Cough,Asthma
Chest Pain,Joint Pain,Swelling,Nausea,Chills,COVID-19
Loss of Appetite,Headache,Muscle Weakness,Skin Rash,Fatigue,Pneumonia
Sweating,Skin Rash,Nausea,Body Pain,Runny Nose,Chikungunya
High Fever,Sneezing,Vomiting,Abdominal Pain,Headache,Dengue
Body Pain,Nausea,Chest Pain,Sore Throat,Sweating,Flu
Fatigue,Sneezing,Shortness of Breath,Diarrhea,Abdominal Pain,Dengue
Nausea,Skin Rash,Sweating,Body Pain,Chills,Food Poisoning
Joint Pain,Cough,Fever,Chest Pain,Muscle Weakness,Food Poisoning
Joint Pain,High Fever,Sweating,Cough,Swelling,Asthma
Body Pain,Loss of Appetite,Headache,Chills,Fever,Bronchitis
Chills,Cough,Loss of Appetite,Fever,Shortness of Breath,COVID-19
Sweating,Loss of Appetite,Abdominal Pain,High Fever,Diarrhea,Cold
Muscle Weakness,Joint Pain,Headache,Body Pain,Runny Nose,Food Poisoning
Chills,Sweating,Diarrhea,Muscle Weakness,Headache,Asthma
Loss of Appetite,Fatigue,Chills,Swelling,Runny Nose,Allergy
Loss of Appetite,Sweating,High Fever,Swelling,Joint Pain,Malaria
Fever,Swelling,Cough,Nausea,Fatigue,COVID-19
Sweating,Fever,Swelling,Runny Nose,Fatigue,Pneumonia
Sneezing,High Fever,Dizziness,Joint Pain,Fatigue,Typhoid
Diarrhea,Sweating,Sore Throat,Headache,Vomiting,Flu
Vomiting,Chest Pain,Sweating,Headache,Swelling,Flu
Abdominal Pain,Fever,Shortness of Breath,Chest Pain,Joint Pain,Pneumonia
Skin Rash,Loss of Appetite,Vomiting,Muscle Weakness,Dizziness,Allergy
Abdominal Pain,Joint Pain,Fever,Skin Rash,Cough,Tuberculosis
Sneezing,Runny Nose,Chills,Vomiting,Swelling,COVID-19
Dizziness,Fever,Runny Nose,Shortness of Breath,Muscle Weakness,Flu
Chest Pain,Fever,High Fever,Skin Rash,Sore Throat,Tuberculosis
Abdominal Pain,Loss of Appetite,Muscle Weakness,Chills,Shortness of Breath,Pneumonia
Fever,Chills,Chest Pain,Cough,Skin Rash,Tuberculosis
Chest Pain,Headache,Vomiting,Sneezing,Joint Pain,Flu
Sweating,Swelling,High Fever,Nausea,Cough,Cold
Vomiting,Muscle Weakness,Swelling,Nausea,Body Pain,Bronchitis
Diarrhea,Chest Pain,Swelling,Muscle Weakness,Sneezing,Pneumonia
Runny Nose,Joint Pain,Fever,Fatigue,Shortness of Breath,COVID-19
Abdominal Pain,Body Pain,Fever,Sneezing,Loss of Appetite,Tuberculosis
Sore Throat,Body Pain,High Fever,Fatigue,Chills,Asthma
Headache,Cough,Dizziness,Joint Pain,Sneezing,Allergy
Sore Throat,Dizziness,Headache,Cough,Vomiting,Tuberculosis
Joint Pain,Sore Throat,Swelling,Loss of Appetite,Abdominal Pain,Typhoid
Vomiting,Shortness of Breath,Chills,Fever,Fatigue,Bronchitis
High Fever,Fatigue,Nausea,Headache,Swelling,Allergy
Sore Throat,Vomiting,Chest Pain,Swelling,Cough,Dengue
Chills,Sneezing,Abdominal Pain,Chest Pain,High Fever,Food Poisoning
Joint Pain,Muscle Weakness,Abdominal Pain,Sneezing,Fatigue,Asthma
Loss of Appetite,Chills,Sore Throat,Fatigue,Swelling,COVID-19
Loss of Appetite,Sweating,Runny Nose,Body Pain,Sneezing,Tuberculosis
Nausea,Chills,Vomiting,Diarrhea,High Fever,Pneumonia
Nausea,Vomiting,Fatigue,Swelling,Sweating,Typhoid
Body Pain,Sneezing,Muscle Weakness,Dizziness,Abdominal Pain,Cold
High Fever,Chills,Vomiting,Dizziness,Joint Pain,Dengue
Abdominal Pain,Cough,Muscle Weakness,Chest Pain,Nausea,Pneumonia
Muscle Weakness,Swelling,Shortness of Breath,Diarrhea,Vomiting,Bronchitis
Sore Throat,Abdominal Pain,Runny Nose,Loss of Appetite,Vomiting,Flu
Headache,Nausea,Chills,Body Pain,Runny Nose,Malaria
Joint Pain,Skin Rash,Cough,Dizziness,Diarrhea,Asthma
Dizziness,Chest Pain,Vomiting,Abdominal Pain,Sneezing,Malaria
Sneezing,Fever,Runny Nose,Dizziness,Body Pain,Tuberculosis
Vomiting,Runny Nose,High Fever,Dizziness,Sneezing,Tuberculosis
Skin Rash,Shortness of Breath,Muscle Weakness,Runny Nose,Abdominal Pain,Cold
Swelling,Runny Nose,Diarrhea,Loss of Appetite,Skin Rash,Allergy
Joint Pain,Muscle Weakness,Cough,Sweating,Body Pain,Dengue
Shortness of Breath,Headache,Loss of Appetite,Diarrhea,Body Pain,Cold
Chest Pain,Runny Nose,Diarrhea,Chills,Nausea,Bronchitis
Loss of Appetite,High Fever,Sneezing,Sore Throat,Fatigue,Pneumonia
Cough,Sore Throat,Nausea,Chills,Sneezing,Typhoid
Body Pain,Sneezing,Nausea,Sweating,Chills,Malaria
Chest Pain,Joint Pain,Diarrhea,Muscle Weakness,Body Pain,Typhoid
Nausea,Sneezing,Diarrhea,Loss of Appetite,Shortness of Breath,COVID-19
Joint Pain,Chest Pain,Chills,Nausea,Cough,Tuberculosis
Swelling,Nausea,Chest Pain,Fatigue,Loss of Appetite,Cold
Runny Nose,Cough,Fatigue,Shortness of Breath,High Fever,Asthma
Fever,Body Pain,Chills,Joint Pain,Swelling,Asthma
Body Pain,Sneezing,Dizziness,Chest Pain,Joint Pain,Food Poisoning
Shortness of Breath,Fever,Joint Pain,Skin Rash,Muscle Weakness,Pneumonia
Sweating,Diarrhea,Fever,Shortness of Breath,Body Pain,Cold
Fever,Muscle Weakness,Body Pain,Nausea,Sore Throat,Allergy
Chills,Runny Nose,Swelling,Shortness of Breath,Sneezing,Chikungunya
Runny Nose,Sweating,Joint Pain,Fatigue,Vomiting,Tuberculosis
Loss of Appetite,Headache,Diarrhea,Body Pain,Chest Pain,Tuberculosis
Sore Throat,Chills,Dizziness,Vomiting,Shortness of Breath,Chikungunya
Cough,Sore Throat,Shortness of Breath,Abdominal Pain,Sneezing,Asthma
Sneezing,Sweating,Chest Pain,High Fever,Headache,Pneumonia
Fatigue,Vomiting,Fever,Dizziness,High Fever,Malaria
Cough,Chest Pain,Joint Pain,Fever,Diarrhea,Typhoid
Fatigue,Sweating,Chest Pain,Body Pain,Nausea,Bronchitis
Runny Nose,Sore Throat,Fever,Chills,Nausea,Bronchitis
Nausea,Loss of Appetite,Body Pain,Swelling,Chills,Dengue
Loss of Appetite,Diarrhea,Sweating,Vomiting,Cough,Dengue
Sweating,Loss of Appetite,Cough,Runny Nose,Shortness of Breath,Malaria
Chills,Nausea,Joint Pain,Muscle Weakness,Cough,Asthma
High Fever,Chills,Body Pain,Abdominal Pain,Fever,Dengue
Vomiting,Cough,Sneezing,High Fever,Dizziness,Cold
Abdominal Pain,Sneezing,Shortness of Breath,Swelling,Fever,Food Poisoning
Shortness of Breath,High Fever,Skin Rash,Headache,Loss of Appetite,Chikungunya
Diarrhea,Sneezing,Runny Nose,Sweating,Vomiting,Flu
Swelling,Vomiting,Shortness of Breath,Joint Pain,Diarrhea,Food Poisoning
Joint Pain,Muscle Weakness,Loss of Appetite,Skin Rash,Nausea,Chikungunya
Diarrhea,Loss of Appetite,Fever,Dizziness,Runny Nose,Typhoid
Vomiting,Skin Rash,Nausea,Dizziness,Chest Pain,Tuberculosis
Joint Pain,High Fever,Diarrhea,Vomiting,Sweating,Flu
Abdominal Pain,Sneezing,Joint Pain,Vomiting,Swelling,Allergy
Sore Throat,Fever,Runny Nose,Fatigue,High Fever,Typhoid
Cough,Fever,Skin Rash,Swelling,Shortness of Breath,Bronchitis
Sore Throat,Sweating,Fatigue,High Fever,Body Pain,Tuberculosis
High Fever,Runny Nose,Joint Pain,Body Pain,Cough,Allergy
Shortness of Breath,Runny Nose,Nausea,Cough,Skin Rash,COVID-19
Vomiting,Cough,Loss of Appetite,Swelling,Nausea,Pneumonia
Nausea,Chills,High Fever,Dizziness,Fatigue,Pneumonia
Runny Nose,Cough,Diarrhea,Fever,Shortness of Breath,Pneumonia
Chills,Sneezing,Sweating,Vomiting,Headache,Malaria
Headache,Joint Pain,Fatigue,Loss of Appetite,Swelling,Cold
Muscle Weakness,High Fever,Skin Rash,Sweating,Sneezing,Flu
Nausea,Sweating,Diarrhea,Body Pain,Chills,Allergy
Diarrhea,Vomiting,Skin Rash,Runny Nose,High Fever,Malaria
Cough,Loss of Appetite,Chest Pain,Headache,Swelling,Chikungunya
Headache,Joint Pain,Chills,Skin Rash,Sore Throat,Food Poisoning
Sweating,Body Pain,Muscle Weakness,Sore Throat,Runny Nose,Asthma
Joint Pain,Abdominal Pain,Chills,Skin Rash,High Fever,Flu
Sore Throat,Abdominal Pain,Fever,Skin Rash,Body Pain,Pneumonia
Abdominal Pain,Muscle Weakness,Fever,Swelling,Skin Rash,Asthma
Loss of Appetite,Fever,Cough,Vomiting,Skin Rash,Flu
Chills,Diarrhea,Sore Throat,Headache,Nausea,Tuberculosis
Body Pain,Headache,Sore Throat,Runny Nose,Cough,Bronchitis
Vomiting,Chest Pain,Swelling,Diarrhea,Sneezing,Chikungunya
Fever,Dizziness,Vomiting,Chills,Joint Pain,Bronchitis
Cough,Nausea,Abdominal Pain,Runny Nose,Swelling,Tuberculosis
Skin Rash,High Fever,Muscle Weakness,Shortness of Breath,Chest Pain,Bronchitis
Swelling,Dizziness,Loss of Appetite,Fatigue,Cough,Tuberculosis
Cough,Headache,Sore Throat,Chills,High Fever,Allergy
Sneezing,Cough,Vomiting,Sweating,Fatigue,COVID-19
Sneezing,Runny Nose,Dizziness,Fever,Body Pain,Food Poisoning
Joint Pain,Chest Pain,Fatigue,Abdominal Pain,Headache,Allergy
Cough,Sneezing,Sore Throat,Abdominal Pain,Swelling,Malaria
Sneezing,Nausea,Sweating,Loss of Appetite,Joint Pain,Chikungunya
Fever,Runny Nose,Body Pain,Sore Throat,Diarrhea,Pneumonia
Abdominal Pain,Runny Nose,Shortness of Breath,Sneezing,Loss of Appetite,Chikungunya
Diarrhea,Swelling,Sweating,Abdominal Pain,Cough,Cold
Body Pain,Runny Nose,Sweating,Diarrhea,Sore Throat,Dengue
Fever,Loss of Appetite,Fatigue,Chest Pain,Body Pain,Food Poisoning
Dizziness,Chest Pain,Muscle Weakness,Shortness of Breath,Headache,Allergy
Fever,Skin Rash,Runny Nose,Headache,Muscle Weakness,Flu
High Fever,Fatigue,Skin Rash,Nausea,Shortness of Breath,Pneumonia
Chills,Sneezing,Runny Nose,Abdominal Pain,Cough,Chikungunya
Fatigue,Muscle Weakness,Vomiting,Chest Pain,Sweating,Asthma
Nausea,Diarrhea,Chills,Runny Nose,Shortness of Breath,Typhoid
Dizziness,Skin Rash,Body Pain,Joint Pain,Nausea,COVID-19
Swelling,Loss of Appetite,Vomiting,Body Pain,Runny Nose,Asthma
High Fever,Nausea,Sweating,Joint Pain,Runny Nose,COVID-19
Sore Throat,Abdominal Pain,Loss of Appetite,Fever,Vomiting,Allergy
Sweating,Sore Throat,Vomiting,Chest Pain,Diarrhea,Bronchitis
Headache,Cough,Vomiting,Loss of Appetite,Body Pain,Food Poisoning
Skin Rash,Headache,Abdominal Pain,Fatigue,Loss of Appetite,Cold
Diarrhea,Skin Rash,Sweating,Muscle Weakness,Chills,Bronchitis
Joint Pain,Chills,Dizziness,Skin Rash,Abdominal Pain,Bronchitis
Sore Throat,Shortness of Breath,Sneezing,Sweating,Diarrhea,Bronchitis
Sore Throat,Joint Pain,Fatigue,Shortness of Breath,Diarrhea,Typhoid
Fatigue,Diarrhea,Body Pain,Runny Nose,Headache,Malaria
Vomiting,Cough,Sweating,Swelling,Chills,Malaria
Sneezing,Vomiting,Muscle Weakness,Loss of Appetite,Dizziness,Tuberculosis
Swelling,Sweating,Sneezing,Vomiting,Shortness of Breath,Dengue
Dizziness,Vomiting,Muscle Weakness,Joint Pain,Body Pain,Tuberculosis
Cough,Sneezing,Joint Pain,Runny Nose,Diarrhea,Cold
Skin Rash,Shortness of Breath,Headache,Joint Pain,High Fever,Asthma
Sore Throat,Shortness of Breath,Chills,Abdominal Pain,Chest Pain,Chikungunya
Fever,Joint Pain,Sweating,Muscle Weakness,Fatigue,Asthma
Dizziness,Joint Pain,Runny Nose,Muscle Weakness,Fever,Asthma
Fatigue,Diarrhea,Muscle Weakness,Joint Pain,Fever,Dengue
Fatigue,Muscle Weakness,Loss of Appetite,Runny Nose,Nausea,COVID-19
Sore Throat,Skin Rash,Fever,Cough,Chills,Dengue
Cough,Muscle Weakness,Shortness of Breath,Body Pain,Sneezing,Food Poisoning
Loss of Appetite,Dizziness,Swelling,Muscle Weakness,Sore Throat,Bronchitis
Cough,Headache,Swelling,Vomiting,Diarrhea,COVID-19
Body Pain,Swelling,Headache,Dizziness,Joint Pain,Asthma
Fatigue,Skin Rash,Joint Pain,Sweating,Runny Nose,COVID-19
Chest Pain,Muscle Weakness,Fatigue,Joint Pain,Headache,Allergy
Sweating,Muscle Weakness,Vomiting,Joint Pain,Cough,Food Poisoning
Nausea,Abdominal Pain,Skin Rash,Fever,Diarrhea,Cold
Chills,Dizziness,Loss of Appetite,Sore Throat,Chest Pain,Flu
Sore Throat,Runny Nose,Cough,Shortness of Breath,Skin Rash,Pneumonia
Swelling,Skin Rash,Vomiting,Sweating,Abdominal Pain,Chikungunya
Chest Pain,Abdominal Pain,Fatigue,Sneezing,Swelling,Flu
Diarrhea,Dizziness,Fever,Fatigue,Sneezing,Cold
Headache,Loss of Appetite,Chest Pain,Body Pain,Skin Rash,COVID-19
Sweating,Headache,Joint Pain,High Fever,Dizziness,Malaria
High Fever,Vomiting,Sore Throat,Dizziness,Chest Pain,Malaria
Loss of Appetite,Swelling,Abdominal Pain,Dizziness,Headache,Asthma
High Fever,Joint Pain,Muscle Weakness,Cough,Skin Rash,Bronchitis
Diarrhea,Swelling,High Fever,Sweating,Shortness of Breath,COVID-19
Sweating,High Fever,Sore Throat,Chills,Muscle Weakness,Typhoid
Shortness of Breath,Abdominal Pain,Fever,Sweating,Body Pain,Flu
Swelling,Loss of Appetite,Sweating,Muscle Weakness,Abdominal Pain,Bronchitis
Dizziness,Fever,Loss of Appetite,Abdominal Pain,Diarrhea,Typhoid
Muscle Weakness,Runny Nose,Vomiting,Sore Throat,Nausea,Dengue
Sweating,Cough,Fatigue,Headache,Diarrhea,Asthma
Sore Throat,Muscle Weakness,Cough,Body Pain,Joint Pain,Food Poisoning
Sneezing,Abdominal Pain,Swelling,Fever,Vomiting,Malaria
Chills,Joint Pain,Fever,Loss of Appetite,Nausea,Typhoid
Runny Nose,Fatigue,Headache,Loss of Appetite,High Fever,Dengue
Sore Throat,Chills,Joint Pain,Muscle Weakness,Skin Rash,Dengue
Fatigue,Chest Pain,Chills,Sneezing,Shortness of Breath,Asthma
Joint Pain,Diarrhea,Muscle Weakness,Sore Throat,Cough,Pneumonia
Diarrhea,Sweating,Cough,Sneezing,Chest Pain,Malaria
Cough,Chills,Shortness of Breath,Body Pain,Sore Throat,Asthma
Cough,Runny Nose,Fever,Abdominal Pain,Nausea,Pneumonia
Muscle Weakness,Diarrhea,Shortness of Breath,Chills,Abdominal Pain,Cold
Headache,Muscle Weakness,Fever,Sweating,Chills,Bronchitis
Sneezing,Body Pain,High Fever,Joint Pain,Sore Throat,Malaria
Fatigue,Abdominal Pain,High Fever,Vomiting,Sweating,Pneumonia
Cough,Sore Throat,Skin Rash,Loss of Appetite,Fever,Chikungunya
Chills,Diarrhea,Swelling,Sore Throat,Sweating,Malaria
