Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Disease,AnimalName
Chills,Loss of taste or smell,Fever,Nausea,Diarrhea,COVID-19,Fowl
Sore throat,Headache,Fever,Vomiting,Diarrhea,Flu,Tiger
Nausea,Rash,High fever,Fatigue,Muscle pain,Chikungunya,Monkey
Nausea,Chills,Dry cough,Muscle aches,Fever,COVID-19,Sheep
Wheezing,Chest discomfort,Persistent cough with mucus,Mild fever,Chills,Bronchitis,Donkey
High fever with chills,Jaundice,Fatigue,Vomiting,Nausea,Malaria,Tiger
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Duck
Vomiting,Chills,Diarrhea,Dry Cough,Fever,Flu,Monkey
Runny nose,Swelling,Itchy eyes,Sneezing,Skin rash,Allergy,Duck
Mild fever,Runny nose,Sore throat,Sneezing,Mild cough,Cold,Rabbit
Cough with phlegm,Chest pain,Chills,High fever,Fatigue,Pneumonia,Sheep
Abdominal pain,Fatigue,Headache,Prolonged high fever,Constipation,Typhoid,Cat
Skin rash,Itchy eyes,Swelling,Sneezing,Runny nose,Allergy,Cattle
Wheezing,Coughing,Shortness of breath,Chest tightness,None,Asthma,Goat
Nausea,Chills,Sore throat,Shortness of breath,Fever,COVID-19,Tiger
Loss of taste or smell,Dry cough,Sore throat,Congestion,Fatigue,COVID-19,Chicken
Dehydration,Stomach cramps,Fever,Weakness,Bloody diarrhea,Food Poisoning,Fox
Shortness of breath,Chills,Nausea,Fever,Sore throat,COVID-19,Cow
Sudden high fever,Muscle and joint pain,Fatigue,Rash,Severe headache,Dengue,Sheep
Headache,Diarrhea,Prolonged high fever,Constipation,Rose-colored spots,Typhoid,Cat
Prolonged high fever,Diarrhea,Constipation,Fatigue,Rose-colored spots,Typhoid,Wolves
Chest discomfort,Chills,Mild fever,Wheezing,Persistent cough with mucus,Bronchitis,Turtle
Headache,Fatigue,Jaundice,Muscle pain,Vomiting,Malaria,Mammal
Prolonged high fever,Constipation,Weakness,Rose-colored spots,Diarrhea,Typhoid,Hyaenas
Rash,High fever,Nausea,Fatigue,Severe joint pain,Chikungunya,Hamster
Nausea,Headache,Muscle pain,Sweating,Anemia,Malaria,Monkey
Wheezing,Mild fever,Chills,Fatigue,Chest discomfort,Bronchitis,Hamster
Loss of appetite,Persistent cough,Blood in cough,Fatigue,Weight loss,Tuberculosis,Goat
Runny nose,Sneezing,Skin rash,Swelling,Itchy eyes,Allergy,Hyaenas
Dengue Hemorrhagic Fever,Sudden high fever,Severe headache,Muscle and joint pain,Mild bleeding,Dengue,Sheep
Severe joint pain,High fever,Fatigue,Nausea,Muscle pain,Chikungunya,Hyaenas
Dry Cough,Vomiting,Runny nose,Sore throat,Muscle or body aches,Flu,Cow
Headache,Muscle or body aches,Fever,Dry Cough,Fatigue,Flu,Duck
Fever,Vomiting,Weakness,Dehydration,Diarrhea,Food Poisoning,Mammal
Fatigue,High fever,Confusion,Chills,Chest pain,Pneumonia,Sheep
Nausea,Muscle pain,Fatigue,Anemia,Sweating,Malaria,Buffaloes
Vomiting,Dehydration,Weakness,Fever,Bloody diarrhea,Food Poisoning,Cow
Swelling,Skin rash,Runny nose,Sneezing,Itchy eyes,Allergy,Elephant
Nausea,High fever,Severe joint pain,Fatigue,Headache,Chikungunya,Rabbit
Fatigue,Muscle pain,Rash,Headache,High fever,Chikungunya,Snake
Dehydration,Weakness,Stomach cramps,Diarrhea,Bloody diarrhea,Food Poisoning,Fowl
Nausea,Diarrhea,Congestion,Dry cough,Fatigue,COVID-19,Mammal
Cough with phlegm,High fever,Confusion,Fatigue,Chills,Pneumonia,Duck
Vomiting,Weakness,Bloody diarrhea,Diarrhea,Stomach cramps,Food Poisoning,Dog
Anemia,Headache,High fever with chills,Vomiting,Muscle pain,Malaria,Mammal
Fatigue,High fever,Confusion,Cough with phlegm,Chest pain,Pneumonia,Birds
Pain behind the eyes,Sudden high fever,Fatigue,Muscle and joint pain,Dengue Hemorrhagic Fever,Dengue,Cattle
Congestion,Dry cough,Chills,Fever,Sore throat,COVID-19,Wolves
Mild bleeding,Pain behind the eyes,Dengue Hemorrhagic Fever,Sudden high fever,Severe headache,Dengue,Buffaloes
Mild fever,Persistent cough with mucus,Chest discomfort,Wheezing,Chills,Bronchitis,Turtle
Blood in cough,Fever (evening),Loss of appetite,Night sweats,Fatigue,Tuberculosis,Hamster
Sore throat,Mild cough,Mild fatigue,Sneezing,Runny nose,Cold,Elephant
Mild fever,Persistent cough with mucus,Wheezing,Chills,Fatigue,Bronchitis,Rabbit
High fever,Muscle pain,Headache,Nausea,Fatigue,Chikungunya,Monkey
Jaundice,Muscle pain,Fatigue,Sweating,Vomiting,Malaria,Fowl
Congestion,Fever,Chills,Dry cough,Muscle aches,COVID-19,Wolves
Nausea,Bloody diarrhea,Dehydration,Diarrhea,Vomiting,Food Poisoning,Donkey
Chills,Muscle aches,Fatigue,Congestion,Sore throat,COVID-19,Hamster
Chest tightness,Shortness of breath,Wheezing,Coughing,None,Asthma,Sheep
Headache,Fatigue,Nausea,Muscle pain,Severe joint pain,Chikungunya,Rabbit
Prolonged high fever,Fatigue,Weakness,Rose-colored spots,Abdominal pain,Typhoid,Hyaenas
Muscle aches,Diarrhea,Sore throat,Fatigue,Shortness of breath,COVID-19,Birds
Rash,Severe joint pain,Muscle pain,High fever,Headache,Chikungunya,Sheep
Congestion,Dry cough,Shortness of breath,Muscle aches,Chills,COVID-19,Rabbit
Fatigue,Headache,High fever,Nausea,Severe joint pain,Chikungunya,Goat
Headache,Prolonged high fever,Weakness,Constipation,Diarrhea,Typhoid,Moos
Muscle and joint pain,Dengue Hemorrhagic Fever,Mild bleeding,Fatigue,Sudden high fever,Dengue,Lion
Sneezing,Runny nose,Mild cough,Sore throat,Mild fatigue,Cold,Snake
Fatigue,High fever,Nausea,Headache,Muscle pain,Chikungunya,Duck
Chest pain,Cough with phlegm,Fatigue,Shortness of breath,High fever,Pneumonia,Buffaloes
Fatigue,Night sweats,Fever (evening),Weight loss,Blood in cough,Tuberculosis,Donkey
Runny nose,Muscle or body aches,Chills,Fever,Fatigue,Flu,Birds
Prolonged high fever,Constipation,Weakness,Rose-colored spots,Diarrhea,Typhoid,Monkey
Prolonged high fever,Constipation,Fatigue,Abdominal pain,Rose-colored spots,Typhoid,Mammal
Persistent cough,Fever (evening),Fatigue,Weight loss,Night sweats,Tuberculosis,Donkey
Fatigue,Headache,Abdominal pain,Constipation,Rose-colored spots,Typhoid,Elephant
Wheezing,Coughing,Chest tightness,Shortness of breath,None,Asthma,Cattle
Mild bleeding,Fatigue,Sudden high fever,Muscle and joint pain,Rash,Dengue,Dog
Vomiting,Dehydration,Diarrhea,Fever,Weakness,Food Poisoning,Duck
Nausea,Shortness of breath,Chills,Diarrhea,Sore throat,COVID-19,Donkey
Vomiting,Nausea,Fatigue,Anemia,Jaundice,Malaria,Tiger
Skin rash,Swelling,Sneezing,Itchy eyes,Runny nose,Allergy,Snake
Chills,Vomiting,Fever,Runny nose,Diarrhea,Flu,Deer
Sore throat,Sneezing,Mild fatigue,Runny nose,Mild fever,Cold,Mammal
Chills,Shortness of breath,Cough with phlegm,Confusion,Chest pain,Pneumonia,Tiger
Severe joint pain,Fatigue,Headache,Rash,Muscle pain,Chikungunya,Pig
Chills,Chest discomfort,Fatigue,Wheezing,Persistent cough with mucus,Bronchitis,Buffaloes
Stomach cramps,Diarrhea,Fever,Dehydration,Nausea,Food Poisoning,Pig
Runny nose,Headache,Diarrhea,Chills,Fatigue,Flu,Cat
Blood in cough,Weight loss,Persistent cough,Fatigue,Fever (evening),Tuberculosis,Cat
Shortness of breath,Fatigue,Chest pain,Cough with phlegm,Confusion,Pneumonia,Turtle
Sneezing,Runny nose,Swelling,Itchy eyes,Skin rash,Allergy,Pig
Severe headache,Pain behind the eyes,Sudden high fever,Rash,Fatigue,Dengue,Wolves
Cough with phlegm,Shortness of breath,Confusion,Fatigue,Chest pain,Pneumonia,Tiger
Sore throat,Congestion,Chills,Diarrhea,Nausea,COVID-19,Deer
Wheezing,Fatigue,Persistent cough with mucus,Chest discomfort,Mild fever,Bronchitis,Duck
Itchy eyes,Skin rash,Runny nose,Sneezing,Swelling,Allergy,Pig
Fever,Fatigue,Vomiting,Dry Cough,Runny nose,Flu,Snake
Persistent cough with mucus,Mild fever,Wheezing,Chills,Chest discomfort,Bronchitis,Cow
Sore throat,Fatigue,Chills,Muscle aches,Congestion,COVID-19,Snake
Coughing,Chest tightness,Shortness of breath,Wheezing,None,Asthma,Rabbit
Persistent cough with mucus,Mild fever,Fatigue,Wheezing,Chest discomfort,Bronchitis,Cat
Cough with phlegm,Chest pain,Shortness of breath,Fatigue,High fever,Pneumonia,Duck
Wheezing,Chest discomfort,Mild fever,Persistent cough with mucus,Fatigue,Bronchitis,Duck
Mild fever,Mild cough,Sore throat,Sneezing,Runny nose,Cold,Chicken
Nausea,Chills,Loss of taste or smell,Fever,Diarrhea,COVID-19,Elephant
Chest discomfort,Fatigue,Chills,Wheezing,Persistent cough with mucus,Bronchitis,Rabbit
High fever,Cough with phlegm,Shortness of breath,Chills,Confusion,Pneumonia,Elephant
Nausea,Bloody diarrhea,Weakness,Diarrhea,Vomiting,Food Poisoning,Fowl
Headache,Severe joint pain,Nausea,High fever,Rash,Chikungunya,Horse
High fever,Chest pain,Chills,Fatigue,Shortness of breath,Pneumonia,Turtle
Chills,Wheezing,Chest discomfort,Fatigue,Mild fever,Bronchitis,Pig
Diarrhea,Chills,Shortness of breath,Muscle aches,Sore throat,COVID-19,Donkey
Sweating,Anemia,Jaundice,Nausea,Fatigue,Malaria,Fox
Weakness,Abdominal pain,Constipation,Diarrhea,Fatigue,Typhoid,Sheep
Muscle and joint pain,Rash,Sudden high fever,Dengue Hemorrhagic Fever,Pain behind the eyes,Dengue,Elephant
Wheezing,Persistent cough with mucus,Chills,Fatigue,Mild fever,Bronchitis,Donkey
Muscle pain,High fever with chills,Jaundice,Fatigue,Nausea,Malaria,Turtle
Muscle pain,Nausea,Severe joint pain,Headache,Rash,Chikungunya,Birds
Runny nose,Swelling,Sneezing,Itchy eyes,Skin rash,Allergy,Cat
Sudden high fever,Mild bleeding,Pain behind the eyes,Dengue Hemorrhagic Fever,Fatigue,Dengue,Cat
Shortness of breath,Cough with phlegm,Chills,High fever,Confusion,Pneumonia,Deer
Chest tightness,Shortness of breath,Coughing,Wheezing,None,Asthma,Deer
Weight loss,Fever (evening),Persistent cough,Loss of appetite,Night sweats,Tuberculosis,Turtle
Chest tightness,Wheezing,Shortness of breath,Coughing,None,Asthma,Elephant
Fatigue,Mild fever,Chest discomfort,Wheezing,Persistent cough with mucus,Bronchitis,Pig
Sneezing,Mild cough,Sore throat,Mild fatigue,Mild fever,Cold,Cat
Stomach cramps,Nausea,Dehydration,Vomiting,Bloody diarrhea,Food Poisoning,Lion
Headache,Diarrhea,Fatigue,Fever,Vomiting,Flu,Rabbit
Chills,Persistent cough with mucus,Mild fever,Fatigue,Wheezing,Bronchitis,Tiger
Wheezing,Shortness of breath,Chest tightness,Coughing,None,Asthma,Moos
Diarrhea,Vomiting,Weakness,Bloody diarrhea,Dehydration,Food Poisoning,Birds
Rash,Nausea,Fatigue,Headache,High fever,Chikungunya,Donkey
Shortness of breath,Fatigue,Cough with phlegm,Chest pain,High fever,Pneumonia,Monkey
Sweating,Anemia,High fever with chills,Headache,Nausea,Malaria,Cat
Coughing,Wheezing,Shortness of breath,Chest tightness,None,Asthma,Wolves
Mild fever,Wheezing,Chills,Persistent cough with mucus,Chest discomfort,Bronchitis,Moos
High fever,Confusion,Shortness of breath,Chest pain,Fatigue,Pneumonia,Hamster
Nausea,High fever,Fatigue,Severe joint pain,Rash,Chikungunya,Duck
Chest pain,Cough with phlegm,High fever,Shortness of breath,Fatigue,Pneumonia,Rabbit
Rose-colored spots,Constipation,Prolonged high fever,Abdominal pain,Weakness,Typhoid,Birds
Vomiting,Weakness,Diarrhea,Dehydration,Stomach cramps,Food Poisoning,Moos
Shortness of breath,Chest tightness,Wheezing,Coughing,None,Asthma,Cow
Muscle pain,Fatigue,Sweating,Nausea,Vomiting,Malaria,Tiger
Fatigue,Weight loss,Loss of appetite,Blood in cough,Fever (evening),Tuberculosis,Hyaenas
Coughing,Shortness of breath,Wheezing,Chest tightness,None,Asthma,Sheep
Fatigue,Sweating,Muscle pain,Headache,Vomiting,Malaria,Moos
Fever,Shortness of breath,Muscle aches,Loss of taste or smell,Nausea,COVID-19,Goat
Chills,Diarrhea,Sore throat,Nausea,Shortness of breath,COVID-19,Chicken
Muscle pain,Headache,Fatigue,High fever,Rash,Chikungunya,Pig
Sneezing,Skin rash,Itchy eyes,Runny nose,Swelling,Allergy,Dog
Severe joint pain,Headache,Muscle pain,Fatigue,Nausea,Chikungunya,Lion
Mild cough,Runny nose,Sore throat,Mild fever,Sneezing,Cold,Mammal
Fatigue,Muscle pain,High fever,Nausea,Severe joint pain,Chikungunya,Cow
Fatigue,Wheezing,Mild fever,Chest discomfort,Chills,Bronchitis,Elephant
Sneezing,Runny nose,Itchy eyes,Swelling,Skin rash,Allergy,Cattle
Vomiting,Fatigue,High fever with chills,Nausea,Sweating,Malaria,Cattle
Loss of appetite,Weight loss,Night sweats,Fatigue,Persistent cough,Tuberculosis,Moos
Mild cough,Sneezing,Mild fatigue,Runny nose,Sore throat,Cold,Buffaloes
Headache,Severe joint pain,Fatigue,Rash,Nausea,Chikungunya,Duck
Sneezing,Itchy eyes,Swelling,Skin rash,Runny nose,Allergy,Snake
Fever (evening),Night sweats,Blood in cough,Loss of appetite,Persistent cough,Tuberculosis,Turtle
Sneezing,Itchy eyes,Skin rash,Runny nose,Swelling,Allergy,Goat
High fever,Chills,Confusion,Fatigue,Cough with phlegm,Pneumonia,Horse
Chills,Confusion,Fatigue,Cough with phlegm,High fever,Pneumonia,Lion
Dengue Hemorrhagic Fever,Sudden high fever,Severe headache,Pain behind the eyes,Rash,Dengue,Rabbit
Shortness of breath,Coughing,Wheezing,Chest tightness,None,Asthma,Duck
Weight loss,Loss of appetite,Persistent cough,Night sweats,Fatigue,Tuberculosis,Cattle
Dry cough,Chills,Sore throat,Fever,Congestion,COVID-19,Moos
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Rabbit
Headache,High fever with chills,Nausea,Anemia,Fatigue,Malaria,Cat
Jaundice,Anemia,Sweating,Headache,Nausea,Malaria,Goat
Weight loss,Persistent cough,Blood in cough,Fatigue,Fever (evening),Tuberculosis,Dog
Coughing,Wheezing,Shortness of breath,Chest tightness,None,Asthma,Goat
Dry Cough,Muscle or body aches,Diarrhea,Fatigue,Chills,Flu,Snake
Diarrhea,Vomiting,Bloody diarrhea,Weakness,Dehydration,Food Poisoning,Turtle
Headache,Jaundice,Nausea,Vomiting,Fatigue,Malaria,Horse
Chills,Fever,Vomiting,Dry Cough,Diarrhea,Flu,Buffaloes
Itchy eyes,Sneezing,Swelling,Skin rash,Runny nose,Allergy,Cattle
Mild fever,Sneezing,Mild fatigue,Sore throat,Runny nose,Cold,Buffaloes
Chest pain,High fever,Cough with phlegm,Confusion,Chills,Pneumonia,Rabbit
Shortness of breath,Cough with phlegm,High fever,Confusion,Chest pain,Pneumonia,Sheep
Prolonged high fever,Diarrhea,Constipation,Abdominal pain,Headache,Typhoid,Cat
Runny nose,Mild fatigue,Mild fever,Mild cough,Sneezing,Cold,Elephant
Fatigue,Wheezing,Chest discomfort,Persistent cough with mucus,Mild fever,Bronchitis,Fox
Severe joint pain,Muscle pain,Rash,Fatigue,Nausea,Chikungunya,Cat
Sneezing,Swelling,Skin rash,Runny nose,Itchy eyes,Allergy,Cow
Fatigue,Diarrhea,Constipation,Weakness,Abdominal pain,Typhoid,Goat
Chills,Cough with phlegm,Shortness of breath,Fatigue,High fever,Pneumonia,Turtle
Bloody diarrhea,Weakness,Diarrhea,Fever,Vomiting,Food Poisoning,Moos
Dehydration,Nausea,Diarrhea,Bloody diarrhea,Stomach cramps,Food Poisoning,Horse
Vomiting,Weakness,Fever,Bloody diarrhea,Stomach cramps,Food Poisoning,Cat
Blood in cough,Persistent cough,Fever (evening),Weight loss,Night sweats,Tuberculosis,Horse
Weakness,Headache,Rose-colored spots,Diarrhea,Fatigue,Typhoid,Horse
Rose-colored spots,Diarrhea,Abdominal pain,Prolonged high fever,Constipation,Typhoid,Horse
Sweating,Fatigue,Jaundice,Nausea,Headache,Malaria,Snake
Wheezing,Shortness of breath,Coughing,Chest tightness,None,Asthma,Chicken
Vomiting,Muscle pain,Nausea,Sweating,Headache,Malaria,Dog
Severe headache,Dengue Hemorrhagic Fever,Fatigue,Muscle and joint pain,Rash,Dengue,Turtle
Rash,Fatigue,Muscle pain,Severe joint pain,Headache,Chikungunya,Birds
Rash,Nausea,High fever,Fatigue,Severe joint pain,Chikungunya,Birds
Muscle pain,Rash,Nausea,Headache,High fever,Chikungunya,Birds
Stomach cramps,Vomiting,Dehydration,Bloody diarrhea,Nausea,Food Poisoning,Tiger
Rose-colored spots,Diarrhea,Headache,Weakness,Fatigue,Typhoid,Rabbit
Chills,Sore throat,Muscle or body aches,Fatigue,Diarrhea,Flu,Tiger
Fever,Bloody diarrhea,Dehydration,Vomiting,Weakness,Food Poisoning,Fowl
Severe joint pain,Fatigue,Headache,Nausea,Rash,Chikungunya,Goat
Fatigue,Chest discomfort,Chills,Mild fever,Persistent cough with mucus,Bronchitis,Turtle
Fatigue,Blood in cough,Weight loss,Persistent cough,Loss of appetite,Tuberculosis,Horse
Vomiting,High fever with chills,Muscle pain,Sweating,Jaundice,Malaria,Duck
Mild fatigue,Sore throat,Mild fever,Mild cough,Sneezing,Cold,Tiger
Sweating,Jaundice,Headache,Muscle pain,Vomiting,Malaria,Lion
Shortness of breath,Chest tightness,Coughing,Wheezing,None,Asthma,Pig
Skin rash,Itchy eyes,Swelling,Sneezing,Runny nose,Allergy,Goat
Weakness,Constipation,Rose-colored spots,Abdominal pain,Fatigue,Typhoid,Hyaenas
Dengue Hemorrhagic Fever,Pain behind the eyes,Fatigue,Muscle and joint pain,Mild bleeding,Dengue,Horse
Mild fever,Fatigue,Chest discomfort,Wheezing,Persistent cough with mucus,Bronchitis,Dog
Headache,Rose-colored spots,Fatigue,Diarrhea,Prolonged high fever,Typhoid,Turtle
Sneezing,Runny nose,Swelling,Skin rash,Itchy eyes,Allergy,Duck
Itchy eyes,Sneezing,Runny nose,Swelling,Skin rash,Allergy,Elephant
Coughing,Chest tightness,Wheezing,Shortness of breath,None,Asthma,Donkey
Shortness of breath,Wheezing,Coughing,Chest tightness,None,Asthma,Donkey
Headache,Muscle pain,Rash,Fatigue,Nausea,Chikungunya,Moos
Fever (evening),Loss of appetite,Blood in cough,Night sweats,Weight loss,Tuberculosis,Birds
Chills,Persistent cough with mucus,Wheezing,Chest discomfort,Mild fever,Bronchitis,Horse
Dengue Hemorrhagic Fever,Fatigue,Severe headache,Muscle and joint pain,Pain behind the eyes,Dengue,Birds
Confusion,Cough with phlegm,Chills,Shortness of breath,Chest pain,Pneumonia,Wolves
Coughing,Wheezing,Chest tightness,Shortness of breath,None,Asthma,Tiger
Diarrhea,Vomiting,Fever,Dry Cough,Runny nose,Flu,Pig
Sneezing,Mild fatigue,Mild cough,Sore throat,Runny nose,Cold,Fox
Sore throat,Runny nose,Mild cough,Mild fatigue,Mild fever,Cold,Sheep
Chest discomfort,Fatigue,Wheezing,Chills,Persistent cough with mucus,Bronchitis,Pig
Runny nose,Sneezing,Itchy eyes,Swelling,Skin rash,Allergy,Cat
Rose-colored spots,Abdominal pain,Weakness,Constipation,Diarrhea,Typhoid,Moos
Fatigue,Mild fever,Persistent cough with mucus,Chills,Wheezing,Bronchitis,Cow
Vomiting,Bloody diarrhea,Stomach cramps,Dehydration,Diarrhea,Food Poisoning,Hamster
Mild bleeding,Severe headache,Fatigue,Pain behind the eyes,Dengue Hemorrhagic Fever,Dengue,Cow
Fatigue,Night sweats,Weight loss,Loss of appetite,Persistent cough,Tuberculosis,Buffaloes
Skin rash,Itchy eyes,Runny nose,Sneezing,Swelling,Allergy,Sheep
Sudden high fever,Severe headache,Pain behind the eyes,Mild bleeding,Muscle and joint pain,Dengue,Sheep
Loss of appetite,Night sweats,Persistent cough,Weight loss,Fever (evening),Tuberculosis,Elephant
Weakness,Headache,Diarrhea,Prolonged high fever,Constipation,Typhoid,Chicken
Fever,Stomach cramps,Nausea,Bloody diarrhea,Weakness,Food Poisoning,Hyaenas
Fatigue,Headache,Prolonged high fever,Abdominal pain,Diarrhea,Typhoid,Moos
Fatigue,Loss of appetite,Weight loss,Persistent cough,Blood in cough,Tuberculosis,Buffaloes
Loss of appetite,Fever (evening),Blood in cough,Night sweats,Persistent cough,Tuberculosis,Dog
Muscle pain,Vomiting,Jaundice,High fever with chills,Anemia,Malaria,Mammal
Wheezing,Shortness of breath,Coughing,Chest tightness,None,Asthma,Cat
Itchy eyes,Skin rash,Runny nose,Sneezing,Swelling,Allergy,Moos
Nausea,Weakness,Diarrhea,Stomach cramps,Fever,Food Poisoning,Tiger
Nausea,Vomiting,Sweating,Headache,Anemia,Malaria,Cattle
Rash,Mild bleeding,Muscle and joint pain,Sudden high fever,Severe headache,Dengue,Horse
Sore throat,Vomiting,Headache,Muscle or body aches,Runny nose,Flu,Horse
Wheezing,Chest tightness,Shortness of breath,Coughing,None,Asthma,Cow
Vomiting,Fever,Chills,Runny nose,Headache,Flu,Pig
Diarrhea,Dry cough,Chills,Muscle aches,Sore throat,COVID-19,Deer
Fever,Diarrhea,Nausea,Stomach cramps,Dehydration,Food Poisoning,Pig
Wheezing,Shortness of breath,Coughing,Chest tightness,None,Asthma,Lion
Coughing,Wheezing,Chest tightness,Shortness of breath,None,Asthma,Horse
Cough with phlegm,High fever,Fatigue,Shortness of breath,Chills,Pneumonia,Duck
Fatigue,Severe headache,Dengue Hemorrhagic Fever,Muscle and joint pain,Pain behind the eyes,Dengue,Duck
Muscle pain,Severe joint pain,Nausea,Fatigue,Headache,Chikungunya,Cat
Chills,Wheezing,Persistent cough with mucus,Mild fever,Chest discomfort,Bronchitis,Tiger
Chest pain,Chills,Fatigue,Shortness of breath,Cough with phlegm,Pneumonia,Pig
Persistent cough with mucus,Chest discomfort,Wheezing,Chills,Mild fever,Bronchitis,Cat
Shortness of breath,Nausea,Loss of taste or smell,Fatigue,Sore throat,COVID-19,Cattle
Diarrhea,Fatigue,Rose-colored spots,Constipation,Abdominal pain,Typhoid,Fox
Jaundice,Headache,Fatigue,Muscle pain,Anemia,Malaria,Hamster
Sore throat,Runny nose,Sneezing,Mild fatigue,Mild cough,Cold,Duck
Headache,High fever,Nausea,Muscle pain,Fatigue,Chikungunya,Sheep
Vomiting,Runny nose,Dry Cough,Sore throat,Diarrhea,Flu,Duck
Fatigue,Chills,Mild fever,Persistent cough with mucus,Chest discomfort,Bronchitis,Goat
Mild fever,Mild cough,Runny nose,Sneezing,Sore throat,Cold,Cow
Muscle or body aches,Chills,Sore throat,Fever,Vomiting,Flu,Hamster
Sneezing,Itchy eyes,Swelling,Skin rash,Runny nose,Allergy,Duck
Muscle aches,Shortness of breath,Dry cough,Fever,Nausea,COVID-19,Cattle
Diarrhea,Vomiting,Dehydration,Weakness,Fever,Food Poisoning,Fowl
Shortness of breath,Confusion,Chills,Chest pain,Cough with phlegm,Pneumonia,Cat
Chills,Fatigue,Cough with phlegm,Confusion,Chest pain,Pneumonia,Turtle
Blood in cough,Loss of appetite,Weight loss,Fatigue,Fever (evening),Tuberculosis,Snake
Wheezing,Fatigue,Persistent cough with mucus,Chest discomfort,Chills,Bronchitis,Cattle
Dry Cough,Fever,Diarrhea,Chills,Sore throat,Flu,Turtle
Fatigue,Loss of taste or smell,Congestion,Shortness of breath,Muscle aches,COVID-19,Cat
Vomiting,Diarrhea,Nausea,Weakness,Stomach cramps,Food Poisoning,Cow
Runny nose,Swelling,Skin rash,Sneezing,Itchy eyes,Allergy,Fowl
Mild fever,Chills,Wheezing,Persistent cough with mucus,Chest discomfort,Bronchitis,Sheep
Bloody diarrhea,Fever,Vomiting,Nausea,Diarrhea,Food Poisoning,Fox
Diarrhea,Vomiting,Fever,Sore throat,Headache,Flu,Elephant
Mild fatigue,Mild cough,Mild fever,Sneezing,Sore throat,Cold,Duck
Night sweats,Fatigue,Weight loss,Fever (evening),Loss of appetite,Tuberculosis,Monkey
Muscle pain,Headache,Rash,Fatigue,Severe joint pain,Chikungunya,Wolves
Shortness of breath,Nausea,Chills,Diarrhea,Fever,COVID-19,Fowl
Anemia,Sweating,Muscle pain,Nausea,Fatigue,Malaria,Rabbit
Muscle pain,Headache,Sweating,Fatigue,Nausea,Malaria,Moos
High fever with chills,Sweating,Vomiting,Anemia,Muscle pain,Malaria,Wolves
Muscle pain,High fever,Severe joint pain,Fatigue,Rash,Chikungunya,Dog
Persistent cough with mucus,Mild fever,Chills,Fatigue,Chest discomfort,Bronchitis,Snake
Muscle pain,Headache,Vomiting,High fever with chills,Sweating,Malaria,Tiger
Weakness,Abdominal pain,Fatigue,Rose-colored spots,Constipation,Typhoid,Cow
Rash,Nausea,High fever,Severe joint pain,Headache,Chikungunya,Snake
Anemia,Fatigue,Headache,Nausea,Muscle pain,Malaria,Lion
Chest pain,Fatigue,Shortness of breath,Cough with phlegm,High fever,Pneumonia,Birds
Mild bleeding,Severe headache,Muscle and joint pain,Dengue Hemorrhagic Fever,Pain behind the eyes,Dengue,Deer
Fatigue,Persistent cough with mucus,Wheezing,Chills,Chest discomfort,Bronchitis,Pig
Fever,Muscle or body aches,Dry Cough,Vomiting,Sore throat,Flu,Sheep
Dehydration,Weakness,Stomach cramps,Fever,Bloody diarrhea,Food Poisoning,Chicken
Sudden high fever,Severe headache,Pain behind the eyes,Rash,Mild bleeding,Dengue,Goat
Fever,Dehydration,Vomiting,Weakness,Bloody diarrhea,Food Poisoning,Chicken
Dry Cough,Muscle or body aches,Fever,Runny nose,Headache,Flu,Snake
Muscle and joint pain,Mild bleeding,Fatigue,Severe headache,Dengue Hemorrhagic Fever,Dengue,Dog
Fatigue,Headache,Nausea,Muscle pain,Jaundice,Malaria,Duck
Weakness,Headache,Fatigue,Diarrhea,Abdominal pain,Typhoid,Duck
Chills,Wheezing,Mild fever,Chest discomfort,Persistent cough with mucus,Bronchitis,Horse
Fatigue,Severe headache,Muscle and joint pain,Pain behind the eyes,Sudden high fever,Dengue,Pig
Blood in cough,Weight loss,Fatigue,Loss of appetite,Persistent cough,Tuberculosis,Dog
Bloody diarrhea,Fever,Weakness,Nausea,Diarrhea,Food Poisoning,Lion
Swelling,Itchy eyes,Skin rash,Runny nose,Sneezing,Allergy,Elephant
Fatigue,Muscle pain,Severe joint pain,Rash,Headache,Chikungunya,Moos
Chest tightness,Shortness of breath,Coughing,Wheezing,None,Asthma,Hamster
Persistent cough with mucus,Mild fever,Chills,Wheezing,Fatigue,Bronchitis,Elephant
Skin rash,Swelling,Itchy eyes,Sneezing,Runny nose,Allergy,Hamster
Chest pain,Confusion,Fatigue,Shortness of breath,High fever,Pneumonia,Cattle
Fatigue,Chest discomfort,Persistent cough with mucus,Wheezing,Chills,Bronchitis,Lion
Stomach cramps,Dehydration,Bloody diarrhea,Vomiting,Fever,Food Poisoning,Horse
Rash,Fatigue,High fever,Severe joint pain,Nausea,Chikungunya,Buffaloes
Stomach cramps,Vomiting,Nausea,Fever,Diarrhea,Food Poisoning,Sheep
Shortness of breath,Congestion,Chills,Diarrhea,Fatigue,COVID-19,Chicken
Blood in cough,Persistent cough,Night sweats,Weight loss,Fever (evening),Tuberculosis,Horse
Severe joint pain,Headache,Muscle pain,High fever,Nausea,Chikungunya,Horse
Chills,Mild fever,Persistent cough with mucus,Fatigue,Wheezing,Bronchitis,Pig
